booking_id,customer_name,no_of_ppl,no_of_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,date,total_price
HWA00001,Ronald Davis,1,2,1,0,Single Room,10/2/2023,160
HWA00002,James Taylor,1,3,0,0,Single Room,11/6/2024,150
HWA00003,Michael Hill,1,1,1,0,Single Room,2/28/2024,80
HWA00004,Ashley Adams,1,2,1,0,Single Room,5/20/2024,160
HWA00005,Thomas King,1,1,0,0,Single Room,4/11/2024,50
HWA00006,David Moore,1,2,1,0,Single Room,9/13/2024,160
HWA00007,Sharon Clark,1,3,1,0,Single Room,10/15/2023,240
HWA00008,Matthew Hill,1,3,1,0,Deluxe Room,12/26/2024,540
HWA00009,Karen Thomas,1,4,1,0,Single Room,7/6/2024,320
HWA00010,Ronald Jones,1,5,1,0,Deluxe Room,10/18/2024,900
HWA00011,Joan Clark,1,1,0,0,Single Room,9/11/2024,50
HWA00012,Christopher Johnson,3,1,1,0,Deluxe Room,4/30/2024,180
HWA00013,Frank Rodriguez,1,1,0,0,Single Room,11/26/2024,50
HWA00014,Christopher Anderson,1,1,1,0,Single Room,11/20/2024,80
HWA00015,David Lopez,1,2,1,0,Single Room,10/20/2023,160
HWA00016,Judith Green,1,2,1,0,Single Room,6/15/2024,160
HWA00017,Melissa Davis,1,1,1,0,Single Room,10/5/2023,80
HWA00018,Gregory Adams,1,3,0,0,Single Room,8/10/2023,150
HWA00019,Amanda Torres,1,2,1,0,Single Room,10/30/2023,160
HWA00020,David Walker,1,1,1,0,Single Room,10/4/2023,80
HWA00021,Emma Moore,1,2,1,0,Single Room,10/30/2023,160
HWA00022,Jennifer Allen,1,1,1,0,Single Room,11/25/2024,80
HWA00023,Timothy Smith,1,4,1,0,Single Room,3/20/2024,320
HWA00024,Steven Jackson,1,3,1,0,Single Room,10/13/2024,240
HWA00025,Sandra Martin,1,1,0,0,Single Room,5/22/2024,50
HWA00026,Mary Davis,1,2,1,0,Single Room,4/28/2024,160
HWA00027,Julie Thompson,1,1,1,0,Single Room,9/21/2023,80
HWA00028,Paul Williams,1,2,1,0,Deluxe Room,5/19/2024,360
HWA00029,Sarah Jones,1,2,1,0,Single Room,9/17/2023,160
